Distance,Score
53,322
52,
52,
50,
51,
52,
53,
54,
56,
56,
60,
61,
68,
67,
65,
67,
65,
62,
62,
67,
66,
66,
66,
68,
40,
38,
39,
34,
34,
41,
46,
34,
50,
44,
44,
35,
34,
37,
41,
37,
43,
42,
41,
43,
38,
37,
40,
40,
40,
40,
39,
40,
42,
49,
55,
51,
44,
42,
40,
40,
47,
42,
43,
40,
39,
38,
44,
47,
48,
49,
49,
48,
49,
49,
49,
50,
49,
40,
52,
55,
57,
53,
55,
52,
53,
53,
53,
53,
52,
54,
58,
55,
54,
57,
51,
51,
51,
52,
53,
52,
58,
53,
51,
52,
55,
56,
53,
54,
54,
53,
54,
53,
53,
52,
53,
54,
53,
54,
53,
54,
53,
54,
53,
53,
53,
54,
53,
54,
54,
53,
53,
53,
52,
54,
53,
56,
55,
55,
56,
58,
58,
61,
55,
56,
64,
55,
58,
54,
54,
54,
54,
55,
54,
54,
54,
54,
57,
55,
57,
54,
55,
53,
52,
55,
55,
54,
55,
54,
54,
56,
55,
53,
53,
54,
54,
54,
55,
54,
57,
54,
55,
55,
54,
54,
55,
55,
55,
54,
54,
55,
58,
61,
51,
56,
56,
57,
55,
55,
54,
55,
56,
55,
55,
55,
55,
56,
56,
56,
55,
55,
56,
56,
55,
56,
55,
55,
55,
56,
56,
56,
55,
56,
56,
55,
55,
55,
55,
56,
56,
55,
55,
55,
55,
55,
55,
61,
60,
62,
57,
56,
56,
55,
54,
54,
54,
53,
54,
53,
53,
54,
54,
54,
54,
54,
54,
53,
54,
54,
53,
54,
55,
53,
54,
54,
53,
53,
54,
55,
55,
54,
54,
54,
53,
53,
53,
54,
54,
53,
54,
54,
54,
53,
54,
54,
54,
54,
54,
55,
54,
54,
53,
54,
55,
54,
55,
54,
54,
53,
53,
54,
56,
54,
55,
59,
55,
53,
54,
64,
54,
54,
54,
54,
55,
54,
54,
56,
54,
55,
54,
55,
54,
54,
54,
54,
55,
54,
59,
56,
57,
57,
56,
56,
55,
56,
56,
56,
55,
56,
56